Bw,osr,nlev,Hinf,Cint,gm,Ro,Co,SNR
803310203.0766479,128,4,1.5,7.305276242821125e-13,0.0005422457290373585,349697.6074809691,4.6372011347203584e-14,83.9757941133825
904488965.2254622,32,2,1.5,9.489928123749994e-13,0.000477666962460897,489644.7695353688,4.987638022309092e-14,55.71310988806413
643046338.1273237,128,4,1.5,8.025898967560897e-13,0.0007732430185237472,663449.840305619,5.087877517036581e-14,84.57150930972713
725795425.4596565,256,4,1.5,9.316466562010082e-13,0.0006154183597963214,493111.75269216514,6.932558307427823e-14,84.47720792945938
207937735.86538184,32,4,1.5,4.430984178643846e-13,0.0008008561146186617,483586.74038633454,3.3399991417837114e-14,57.63346026704405
921777869.4721045,64,4,1.5,5.380051161981105e-13,0.0002062304310021015,870009.2906612809,3.379174743283003e-14,72.68184208900368
994648650.7692668,128,2,1.5,1.378434447253505e-13,0.0008932815779418191,527847.1134947614,1.1920796147406792e-14,83.4585124469959
992162100.942566,128,5,1.5,9.755524104663407e-13,0.0009719412074569811,120776.19762305892,8.032859803489436e-14,85.0411812000177
894349641.1295984,32,2,1.5,4.946211440921756e-13,0.0009311524662056693,922494.3007234315,1.672368601126363e-14,53.56685634252676
100219881.16305624,64,5,1.5,8.156464308726494e-13,0.0008494432558160151,250989.1420378597,2.6802658098229456e-14,74.18841536990867
666111592.9218053,64,2,1.5,9.207770870854032e-13,0.0008388240451181877,963008.4753463588,7.304625343490624e-14,73.29264411693705
547757811.0979067,256,3,1.5,5.987282207507533e-13,0.0007307786737086771,440269.914251083,2.531325803335048e-14,81.3809615992519
604325373.4414518,256,2,1.5,7.070342869726179e-13,0.0004161394652758991,828586.8728561844,3.2268381265897634e-14,82.41859002619238
184286328.53231236,256,2,1.5,4.967610870661278e-13,0.0002940581655716665,713761.5275412404,4.496531936490531e-14,81.76247988922424
354495982.9247725,256,3,1.5,4.133930887730784e-13,0.0006032498033558057,308005.15383104584,2.3325215738278163e-14,81.2806897961059
89596475.21094967,32,2,1.5,8.967389946669404e-13,0.000698691064813861,730953.5392291206,6.582570066791403e-14,55.64400153279863
