Order,OSR,Levels,Hinf,Form,SNR
5,32,3,1.5,CIFF,32.28551399231743
5,32,3,1.5,CRFBD,81.69715817880638
5,32,3,1.5,CRFFD,33.9435929194653
5,32,3,2.0,CRFB,32.09513234286324
5,32,3,2.0,CRFF,33.87194399713108
5,32,3,2.0,CIFB,30.090156031656264
5,32,3,2.0,CIFF,32.75460833557784
5,32,3,2.0,CRFBD,32.04435541125723
5,32,3,2.0,CRFFD,33.99163723694069
5,64,2,1.0,CRFB,85.73759712652785
5,64,2,1.0,CRFF,17.91051566023919
5,64,2,1.0,CIFB,85.7361257762628
5,64,2,1.0,CIFF,18.00899684190355
5,64,2,1.0,CRFBD,85.7263250151457
5,64,2,1.0,CRFFD,17.944458634976282
5,64,2,1.5,CRFB,85.72849776953917
5,64,2,1.5,CRFF,17.910515654791794
5,64,2,1.5,CIFB,85.72786990954003
5,64,2,1.5,CIFF,18.008996846900754
5,64,2,1.5,CRFBD,85.73166125639753
5,64,2,1.5,CRFFD,17.94221800947978
5,64,2,2.0,CRFB,17.74480497237223
5,64,2,2.0,CRFF,17.880524077223615
5,64,2,2.0,CIFB,18.04735429776581
5,64,2,2.0,CIFF,17.967374026836644
5,64,2,2.0,CRFBD,17.680678354263318
5,64,2,2.0,CRFFD,17.940071102763127
5,64,3,1.0,CRFB,85.73759712652785
5,64,3,1.0,CRFF,17.91051566023919
5,64,3,1.0,CIFB,85.7361257762628
5,64,3,1.0,CIFF,18.00899684190355
5,64,3,1.0,CRFBD,85.7263250151457
5,64,3,1.0,CRFFD,17.944458634976282
5,64,3,1.5,CRFB,85.72849776953917
5,64,3,1.5,CRFF,17.910515654791794
5,64,3,1.5,CIFB,85.72786990954003
5,64,3,1.5,CIFF,18.008996846900754
5,64,3,1.5,CRFBD,85.73166125639753
5,64,3,1.5,CRFFD,17.94221800947978
5,64,3,2.0,CRFB,17.74480497237223
5,64,3,2.0,CRFF,17.880524077223615
5,64,3,2.0,CIFB,18.04735429776581
5,64,3,2.0,CIFF,17.967374026836644
5,64,3,2.0,CRFBD,17.680678354263318
5,64,3,2.0,CRFFD,17.940071102763127
5,128,2,1.0,CRFF,0.780558585663471
5,128,2,1.0,CIFF,0.7891270489609343
5,128,2,1.0,CRFFD,0.7958143941130751
5,128,2,1.5,CRFB,85.68009978303769
5,128,2,1.5,CRFF,25.79650972868091
